outer_fold,session,channel,node_strength,diagonal_energy,off_diagonal_energy
1,0,CP5,0.27910947135049707,0.54446663532273731,0.45553336467726313
1,0,CP3,0.50432509030447281,0.54446663532273731,0.45553336467726313
1,0,CP1,0.42696299149247841,0.54446663532273731,0.45553336467726313
1,0,CPz,0.39098496084697942,0.54446663532273731,0.45553336467726313
1,0,CP2,0.40565220973930644,0.54446663532273731,0.45553336467726313
1,0,CP4,0.58901123074714978,0.54446663532273731,0.45553336467726313
1,0,CP6,0.28284814974892758,0.54446663532273731,0.45553336467726313
1,1,FC5,0.21595055184839215,0.53598794393402727,0.46401205606597229
1,1,FC3,0.43173516155220049,0.53598794393402727,0.46401205606597229
1,1,FC1,0.53155717217548382,0.53598794393402727,0.46401205606597229
1,1,FC2,0.52497406221802934,0.53598794393402727,0.46401205606597229
1,1,FC4,0.53353736747029568,0.53598794393402727,0.46401205606597229
1,1,FC6,0.21567894942462651,0.53598794393402727,0.46401205606597229
1,1,C5,0.26118484152801558,0.53598794393402727,0.46401205606597229
1,1,C3,0.8106712687226254,0.53598794393402727,0.46401205606597229
1,1,C1,0.47716572870465829,0.53598794393402727,0.46401205606597229
1,1,Cz,0.43268190372507548,0.53598794393402727,0.46401205606597229
1,1,C2,0.50279820910115192,0.53598794393402727,0.46401205606597229
1,1,C4,0.84170249220413096,0.53598794393402727,0.46401205606597229
1,1,C6,0.25426218610151391,0.53598794393402727,0.46401205606597229
1,1,CP5,0.28008824963880663,0.53598794393402727,0.46401205606597229
1,1,CP3,0.48603670408488869,0.53598794393402727,0.46401205606597229
1,1,CP1,0.40733759157950478,0.53598794393402727,0.46401205606597229
1,1,CPz,0.43755142652580659,0.53598794393402727,0.46401205606597229
1,1,CP2,0.42731387092738526,0.53598794393402727,0.46401205606597229
1,1,CP4,0.6009796924405546,0.53598794393402727,0.46401205606597229
1,1,CP6,0.33161891220306616,0.53598794393402727,0.46401205606597229
2,0,FC5,0.20426968942138543,0.54291952779045738,0.45708047220954218
2,0,FC3,0.43335251466307867,0.54291952779045738,0.45708047220954218
2,0,FC1,0.53002018497048953,0.54291952779045738,0.45708047220954218
2,0,FC2,0.58675734733200735,0.54291952779045738,0.45708047220954218
2,0,FC4,0.36190403898105716,0.54291952779045738,0.45708047220954218
2,0,FC6,0.17724625102687833,0.54291952779045738,0.45708047220954218
2,0,C5,0.20002134663376914,0.54291952779045738,0.45708047220954218
2,0,C3,0.78169349769895224,0.54291952779045738,0.45708047220954218
2,0,C1,0.50227764744942494,0.54291952779045738,0.45708047220954218
2,0,Cz,0.32049065829695023,0.54291952779045738,0.45708047220954218
2,0,C2,0.47073046303304078,0.54291952779045738,0.45708047220954218
2,0,C4,0.89839318063064244,0.54291952779045738,0.45708047220954218
