dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_left_hand,recall_right_hand
openbmi,chronological,1,36,FULL_RIDGE_TRANSFER,1,1,1,0.028454855278357054,0.0054012238365481443,0.026944921495282249,1,1
openbmi,chronological,1,36,ENROLLMENT_PCA_TRANSFER,1,1,1,0.035092988699541354,0.0069565857467801442,0.033127608364064663,1,1
openbmi,chronological,1,36,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.98999999999999999,0.98999899989999007,0.98999999999999999,0.30230761257595606,0.14441250446295359,0.24471827769357993,0.97999999999999998,1
openbmi,chronological,1,38,LRCM,0.52000000000000002,0.51923076923076916,0.52000000000000002,0.67494347464419502,0.48243903781748571,0.068765002005580389,0.47999999999999998,0.56000000000000005
openbmi,chronological,1,38,IDENTITY_RESIDUAL_CARRY,0.5,0.5,0.5,0.69419708097751343,0.50167697521483334,0.098345187606745918,0.5,0.5
openbmi,chronological,1,38,PAST_PROTOTYPE_DIRECT,0.5,0.5,0.5,0.69222748347209917,0.49975188792578684,0.086606045383651492,0.5,0.5
openbmi,chronological,1,38,POPULATION_ONLY,0.60000000000000009,0.59935897435897445,0.59999999999999998,0.66967272302896119,0.47715245441775217,0.046715268907287673,0.56000000000000005,0.64000000000000001
openbmi,chronological,1,38,FULL_RIDGE_TRANSFER,0.52000000000000002,0.51923076923076916,0.52000000000000002,0.67573506087333546,0.48324463579417765,0.088710340281050695,0.47999999999999998,0.56000000000000005
openbmi,chronological,1,38,ENROLLMENT_PCA_TRANSFER,0.52000000000000002,0.51923076923076916,0.52000000000000002,0.67589996218647441,0.48331408012505755,0.060428017168624532,0.47999999999999998,0.56000000000000005
openbmi,chronological,1,38,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.60000000000000009,0.59935897435897445,0.59999999999999998,0.66967272302896119,0.47715245441775217,0.046715268907287673,0.56000000000000005,0.64000000000000001
openbmi,chronological,1,49,LRCM,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.64144307465130534,0.44927857413925099,0.10579408267382279,0.69999999999999996,0.64000000000000001
openbmi,chronological,1,49,IDENTITY_RESIDUAL_CARRY,0.71999999999999997,0.71955128205128205,0.71999999999999997,0.61189636329660613,0.42102103930882762,0.14462944228504118,0.76000000000000001,0.68000000000000005
openbmi,chronological,1,49,PAST_PROTOTYPE_DIRECT,0.70999999999999996,0.7099709970997099,0.70999999999999996,0.61632526268361953,0.42493928965571465,0.14286732539244879,0.69999999999999996,0.71999999999999997
openbmi,chronological,1,49,POPULATION_ONLY,0.66000000000000003,0.65986394557823125,0.66000000000000003,0.63561099113406705,0.44374038349082878,0.091356031588354744,0.68000000000000005,0.64000000000000001
openbmi,chronological,1,49,FULL_RIDGE_TRANSFER,0.67999999999999994,0.67987194877951174,0.68000000000000005,0.64163724765462038,0.44940028282400024,0.11837109171403482,0.69999999999999996,0.66000000000000003
openbmi,chronological,1,49,ENROLLMENT_PCA_TRANSFER,0.64999999999999991,0.64912280701754388,0.65000000000000002,0.64414611347617634,0.45198605378905571,0.083854789951898656,0.69999999999999996,0.59999999999999998
openbmi,chronological,1,49,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.66000000000000003,0.65986394557823125,0.66000000000000003,0.63561099113406705,0.44374038349082878,0.091356031588354744,0.68000000000000005,0.64000000000000001
openbmi,chronological,1,51,LRCM,0.56000000000000005,0.55929487179487181,0.56000000000000005,0.7209540029043654,0.52002272045710751,0.054424366907226893,0.59999999999999998,0.52000000000000002
