outer_fold,method,rank,ridge_lambda,temperature,mean_balanced_accuracy,fold_scores
0,LRCM,1,10,0.050000000000000003,0.68422222222222229,0.6544444444444445|0.67444444444444451|0.70555555555555549|0.70777777777777773|0.67888888888888899
0,LRCM,1,10,0.10000000000000001,0.68422222222222229,0.6544444444444445|0.67444444444444451|0.70555555555555549|0.70777777777777773|0.67888888888888899
0,LRCM,1,10,0.20000000000000001,0.68422222222222229,0.6544444444444445|0.67444444444444451|0.70555555555555549|0.70777777777777773|0.67888888888888899
0,LRCM,1,10,0.5,0.68422222222222229,0.6544444444444445|0.67444444444444451|0.70555555555555549|0.70777777777777773|0.67888888888888899
0,LRCM,1,10,1,0.68422222222222229,0.6544444444444445|0.67444444444444451|0.70555555555555549|0.70777777777777773|0.67888888888888899
0,LRCM,1,10,2,0.68422222222222229,0.6544444444444445|0.67444444444444451|0.70555555555555549|0.70777777777777773|0.67888888888888899
0,LRCM,1,10,5,0.68422222222222229,0.6544444444444445|0.67444444444444451|0.70555555555555549|0.70777777777777773|0.67888888888888899
0,LRCM,1,100,0.050000000000000003,0.69066666666666665,0.65666666666666662|0.69888888888888889|0.70444444444444443|0.70666666666666667|0.68666666666666665
0,LRCM,1,100,0.10000000000000001,0.69066666666666665,0.65666666666666662|0.69888888888888889|0.70444444444444443|0.70666666666666667|0.68666666666666665
0,LRCM,1,100,0.20000000000000001,0.69066666666666665,0.65666666666666662|0.69888888888888889|0.70444444444444443|0.70666666666666667|0.68666666666666665
0,LRCM,1,100,0.5,0.69066666666666665,0.65666666666666662|0.69888888888888889|0.70444444444444443|0.70666666666666667|0.68666666666666665
0,LRCM,1,100,1,0.69066666666666665,0.65666666666666662|0.69888888888888889|0.70444444444444443|0.70666666666666667|0.68666666666666665
0,LRCM,1,100,2,0.69066666666666665,0.65666666666666662|0.69888888888888889|0.70444444444444443|0.70666666666666667|0.68666666666666665
0,LRCM,1,100,5,0.69066666666666665,0.65666666666666662|0.69888888888888889|0.70444444444444443|0.70666666666666667|0.68666666666666665
0,LRCM,2,1.0000000000000001e-05,0.050000000000000003,0.65733333333333321,0.64555555555555555|0.64888888888888896|0.64555555555555555|0.69444444444444442|0.65222222222222226
0,LRCM,2,1.0000000000000001e-05,0.10000000000000001,0.65733333333333321,0.64555555555555555|0.64888888888888896|0.64555555555555555|0.69444444444444442|0.65222222222222226
0,LRCM,2,1.0000000000000001e-05,0.20000000000000001,0.65733333333333321,0.64555555555555555|0.64888888888888896|0.64555555555555555|0.69444444444444442|0.65222222222222226
0,LRCM,2,1.0000000000000001e-05,0.5,0.65733333333333321,0.64555555555555555|0.64888888888888896|0.64555555555555555|0.69444444444444442|0.65222222222222226
0,LRCM,2,1.0000000000000001e-05,1,0.65733333333333321,0.64555555555555555|0.64888888888888896|0.64555555555555555|0.69444444444444442|0.65222222222222226
0,LRCM,2,1.0000000000000001e-05,2,0.65733333333333321,0.64555555555555555|0.64888888888888896|0.64555555555555555|0.69444444444444442|0.65222222222222226
