dataset,subject,K_per_class,draws,expected_balanced_accuracy,expected_macro_f1,balanced_accuracy_draw_sd
openbmi,15,FULL_ORACLE,1,0.64000000000000001,0.6376811594202898,0
openbmi,16,1,200,0.51357142857142857,0.47142103379429928,0.078649669964591121
openbmi,16,2,200,0.53833333333333333,0.5100587216391832,0.078305451843319163
openbmi,16,4,200,0.54434782608695653,0.52803442504690201,0.081079823270886878
openbmi,16,8,200,0.56166666666666665,0.54988636103589661,0.080288793794407606
openbmi,16,16,200,0.58999999999999997,0.58279632521476388,0.052859825170006987
openbmi,16,FULL_ORACLE,1,0.64000000000000001,0.6376811594202898,0
openbmi,17,1,200,0.51153061224489793,0.48170123328489595,0.046014382461462403
openbmi,17,2,200,0.52989583333333323,0.51474088039077159,0.050712809692050068
openbmi,17,4,200,0.53853260869565223,0.5255783561447015,0.05590193839894643
openbmi,17,8,200,0.5513095238095238,0.54405433412962279,0.066227981854426632
openbmi,17,16,200,0.56507352941176459,0.56069006625553597,0.064959287678198238
openbmi,17,FULL_ORACLE,1,0.79000000000000004,0.78981082974677208,0
openbmi,18,1,200,0.62234693877551028,0.58967883359763684,0.091359704109320081
openbmi,18,2,200,0.6846875,0.66962236668950847,0.080088291743897311
openbmi,18,4,200,0.74021739130434783,0.73274482665245033,0.07157159614151147
openbmi,18,8,200,0.79208333333333347,0.78872262314639985,0.052033883303859933
openbmi,18,16,200,0.82838235294117657,0.82657303441564201,0.046623345318652705
openbmi,18,FULL_ORACLE,1,0.92999999999999994,0.92993694324892406,0
openbmi,19,1,200,0.52857142857142858,0.49798156478870548,0.044449141661989829
openbmi,19,2,200,0.54041666666666677,0.52188308611078371,0.043767195711348829
openbmi,19,4,200,0.55521739130434777,0.54577687224483995,0.0611521577772456
openbmi,19,8,200,0.58624999999999994,0.58030502643464699,0.061477827915785987
openbmi,19,16,200,0.62330882352941186,0.62033861321457118,0.0695209099322429
openbmi,19,FULL_ORACLE,1,0.87,0.86998699869987006,0
openbmi,20,1,200,0.505,0.47859088228420299,0.052729948100084072
openbmi,20,2,200,0.52562500000000001,0.50874563525914551,0.05291773004378738
openbmi,20,4,200,0.52798913043478268,0.51691600481329569,0.052162048711110194
openbmi,20,8,200,0.5379761904761905,0.53309441541821923,0.052828662706174347
openbmi,20,16,200,0.55000000000000004,0.54616236885041236,0.05370503554412092
openbmi,20,FULL_ORACLE,1,0.68999999999999995,0.68972074867380639,0
openbmi,21,1,200,0.83908163265306113,0.82710018395476537,0.14175302552961028
openbmi,21,2,200,0.91921874999999997,0.91711994313219192,0.085136079956609934
openbmi,21,4,200,0.95896739130434783,0.95876004513053348,0.046403627128194472
openbmi,21,8,200,0.976547619047619,0.97652996356795996,0.021644507705617298
openbmi,21,16,200,0.98507352941176463,0.98506651169700377,0.011745985327181324
openbmi,21,FULL_ORACLE,1,0.98999999999999999,0.98999899989999007,0
openbmi,22,1,200,0.50260204081632653,0.46925395005110992,0.045033841004227547
openbmi,22,2,200,0.51088541666666676,0.49152864315678885,0.044822606518384205
openbmi,22,4,200,0.51701086956521736,0.50555557809247376,0.049260202009036705
openbmi,22,8,200,0.51886904761904762,0.51146274662672331,0.056261112830436118
openbmi,22,16,200,0.53404411764705872,0.52958014577935997,0.057790543875714258
openbmi,22,FULL_ORACLE,1,0.63,0.62996299629963004,0
openbmi,23,1,200,0.56408163265306122,0.532445415645314,0.062778620341201255
openbmi,23,2,200,0.58609374999999997,0.56892422771208684,0.069297109111453079
openbmi,23,4,200,0.63467391304347831,0.62662684351696873,0.082043809343511451
openbmi,23,8,200,0.68184523809523812,0.67870256590894573,0.079568652431434586
openbmi,23,16,200,0.73183823529411773,0.73021310633607117,0.080141346709100447
openbmi,23,FULL_ORACLE,1,0.91000000000000003,0.90999099909990999,0
openbmi,24,1,200,0.50571428571428567,0.46594623532977197,0.044054694610649418
openbmi,24,2,200,0.51135416666666667,0.48329575000543717,0.04789128396965802
