subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
53,4,3,-0.31753238402729711,-0.91438199092421346,-0.61595718747575523
54,1,3,0.38493596970139876,0.44698370019475098,0.41595983494807487
1,2,5,0.30268701496093076,0.56126752385254264,0.4319772694067367
2,3,5,-0.39656480832441299,-0.57670607719490319,-0.48663544275965809
3,4,5,0.3166242447856491,0.24436200934464017,0.28049312706514462
4,0,5,0.24581836038670107,0.43715704500140751,0.34148770269405426
5,5,5,-0.086864754958040427,-0.09584608643078818,-0.091355420694414297
6,5,5,0.43409490786591026,0.28788399089614986,0.36098944938103006
7,4,5,0.015106091006130293,0.15138354097485895,0.083244815990494631
8,2,5,0.47016308677172874,0.25022966428594656,0.36019637552883765
9,2,5,-0.08329321881771734,-0.12793004910410519,-0.10561163396091126
10,0,5,-0.05493987694003015,0.0058772155828032482,-0.024531330678613451
11,0,5,0.43706169269043055,0.46098244384978049,0.44902206827010549
12,3,5,0.071705466991891842,0.16811436748556402,0.11990991723872793
13,3,5,-0.3698661041979745,-0.10679557912299663,-0.23833084166048557
14,2,5,-0.078014175402530042,0.01365744418530819,-0.032178365608610926
15,4,5,-0.10341382498371202,-0.098116398175960379,-0.1007651115798362
16,1,5,0.40303457176342283,0.088223322889995209,0.24562894732670904
17,2,5,-0.81874150618136443,-0.78177637083257523,-0.80025893850696983
18,0,5,0.16217946855238613,-0.16878899252642909,-0.0033047619870214817
19,2,5,0.17042446497209962,0.22811708987237794,0.19927077742223878
20,3,5,-0.24706352571950968,-0.21556732204364143,-0.23131542388157555
21,3,5,0.38497494709118796,0.54128654075190807,0.46313074392154802
22,4,5,0.022897689815521274,0.067159760716026834,0.045028725265774054
23,4,5,0.13330656968707555,0.37282416606000646,0.253065367873541
24,5,5,0.11005313104947571,0.050672947085632691,0.080363039067554209
25,3,5,0.21832354188968306,-0.011498466116941511,0.10341253788637078
26,4,5,-0.16434184095708992,-0.064725557596659433,-0.11453369927687468
27,5,5,-0.038656825690618013,0.066581642254164658,0.013962408281773322
28,5,5,0.034617929720481576,0.063566312531687097,0.04909212112608434
29,1,5,-0.32870488699949069,-0.48612529034565333,-0.40741508867257203
30,1,5,-0.0053443103873492825,0.10757416364387852,0.051114926628264619
31,0,5,-0.55162395313458679,-0.49516102140698004,-0.52339248727078336
32,3,5,0.6709937923784508,0.77880517254544057,0.72489948246194569
33,4,5,0.17326232089710597,0.024228380817509651,0.098745350857307818
34,5,5,-0.11226853242729673,-0.27640073584715985,-0.19433463413722829
35,4,5,0.21296551749104575,-0.023913976701321379,0.09452577039486218
36,1,5,0.93989143479766746,0.95343800053472771,0.94666471766619753
37,0,5,-0.86447991357314802,-0.91339378891635503,-0.88893685124475152
38,1,5,0.24709393147720787,0.22763450694050344,0.23736421920885564
39,3,5,0.68206352930516523,0.46556126403820186,0.57381239667168349
40,2,5,0.078433438469275196,0.33420480089737292,0.20631911968332406
41,3,5,0.2143221297455217,0.50270728669630815,0.35851470822091491
42,2,5,-0.1100250198324968,-0.23722795957228571,-0.17362648970239125
43,0,5,-0.18477700882739068,-0.018766025055805199,-0.10177151694159794
44,5,5,-0.17845048494245067,0.053875910187245628,-0.062287287377602515
45,0,5,0.45824017108075155,0.43395132365349326,0.44609574736712243
46,0,5,0.081537593512982731,0.10740515193877916,0.094471372725880937
47,5,5,-0.016103460304497434,-0.056760770699783192,-0.036432115502140316
48,5,5,-0.043240030134215318,0.11419601199087001,0.035477990928327346
49,1,5,-0.057691511824529196,0.31515852946460454,0.12873350882003767
50,2,5,0.063734135795385755,-0.067481889153950314,-0.0018738766792822797
51,1,5,-0.91220717068044588,-1.290417153235353,-1.1013121619578994
