subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
33,4,3,0.55392137024090382,0.69421156578086962,0.62406646801088672
34,5,3,0.20200599316696882,0.070743158485156776,0.1363745758260628
35,4,3,0.15509043941584447,0.14160575911334269,0.14834809926459358
36,1,3,7.8714495047411717,7.2387869614452063,7.5551182330931894
37,0,3,0.8728923618192439,0.66818439912363492,0.77053838047143941
38,1,3,0.036268503438158947,0.25187372412939368,0.14407111378377632
39,3,3,0.0025820796944297023,-0.050229818573855674,-0.023823869439712986
40,2,3,0.095985317280256888,0.10358472747315026,0.099785022376703572
41,3,3,0.092307339605547628,0.018614474349739327,0.055460906977643477
42,2,3,-0.058707038724295349,-0.042590445537062288,-0.050648742130678819
43,0,3,-0.022132503642525864,0.0066307214099441125,-0.0077508911162908756
44,5,3,1.1667630479907491,1.2522925323023699,1.2095277901465595
45,0,3,0.27402023622034288,0.25244612110578746,0.26323317866306517
46,0,3,0.0032774656706709218,-0.030801872659334796,-0.013762203494331937
47,5,3,-0.021571755434464671,0.058812530797229895,0.018620387681382612
48,5,3,0.075764272247135944,-0.033898893460354046,0.020932689393390949
49,1,3,0.087851175337533172,0.24404802881596518,0.16594960207674919
50,2,3,0.14012091873780319,0.17443394860656602,0.15727743367218461
51,1,3,0.19433384908230553,0.2629311547765999,0.22863250192945272
52,1,3,-0.0064718206365704037,-0.088787585929495122,-0.047629703283032759
53,4,3,0.0018966942889022953,-0.0050840727956721898,-0.0015936892533849473
54,1,3,0.10541051378757474,0.59067624964874565,0.34804338171816018
1,2,5,0.15652425552160038,0.34066715839760253,0.24859570695960145
2,3,5,0.01866011171462769,0.067955247551473003,0.04330767963305035
3,4,5,1.1305762647590871,0.80750863162251474,0.96904244819080088
4,0,5,0.26317529979386384,0.039441569620731642,0.15130843470729774
5,5,5,0.011036264246490771,0.070025992690575647,0.040531128468533212
6,5,5,0.074150558704429506,0.10305368940356829,0.088602124053998893
7,4,5,0.064298010494019842,0.038454356733169437,0.051376183613594639
8,2,5,0.055044256952394219,0.0015765062979425024,0.028310381625168361
9,2,5,0.13180325685276706,0.043833017611261724,0.087818137232014398
10,0,5,-0.21933666117031808,-0.3168708937039233,-0.26810377743712066
11,0,5,0.10135770575333961,0.16475927818347658,0.13305849196840808
12,3,5,0.30382515810270128,0.25644178063949163,0.28013346937109646
13,3,5,-0.061495879753540983,-0.076751267282583274,-0.069123573518062129
14,2,5,-0.06028419811972284,0.060353739876039508,3.4770878158334184e-05
15,4,5,0.13166428059458013,0.14871596276353724,0.1401901216790587
16,1,5,1.2156211128957344,0.68983925771771348,0.95273018530672393
17,2,5,-0.4132309918042501,-0.39385515885118549,-0.40354307532771783
18,0,5,0.15986713426119481,0.18300912183523327,0.17143812804821404
19,2,5,-0.04166862095502516,0.050036863301355317,0.0041841211731650785
20,3,5,0.080411006207417882,0.040459138332260752,0.060435072269839317
21,3,5,0.60146844031870139,0.79312864852189702,0.69729854442029926
22,4,5,-0.079395295217084924,-0.18884786004785709,-0.13412157763247101
23,4,5,0.13083241949472271,0.044824136450686052,0.087828277972704386
24,5,5,0.17555761285724519,0.14781844074002842,0.16168802679863681
25,3,5,-0.087954195084350484,-0.014869697239184777,-0.051411946161767627
26,4,5,0.045931233066522109,0.21887121027602019,0.13240122167127116
27,5,5,0.3214094158025379,0.29883602024804007,0.31012271802528901
28,5,5,0.22954009378885015,0.092814273646899828,0.16117718371787498
29,1,5,-2.3388719666908275,-2.4642275237669828,-2.4015497452289054
30,1,5,0.10067560154531977,0.021783613732408544,0.061229607638864154
31,0,5,-0.081748818201910115,-0.070147793748844431,-0.075948305975377273
32,3,5,0.75655799328789552,0.76589011963857745,0.76122405646323643
33,4,5,0.2658101117220813,0.43685584556829704,0.3513329786451892
34,5,5,0.087142737534310899,-0.0013930725444098457,0.042874832494950527
