dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_left_hand,recall_right_hand
openbmi,reverse,1,30,POPULATION_ONLY,0.59000000000000008,0.58665188022986192,0.58999999999999997,0.66665822979796563,0.475353944188942,0.031395556043603327,,0.68000000000000005,0.5
openbmi,reverse,1,30,IDENTITY_RESIDUAL_CARRY,0.63,0.62907268170426067,0.63,0.67030025512791025,0.47730301260368407,0.089410492177863676,,0.68000000000000005,0.57999999999999996
openbmi,reverse,1,30,PAST_PROTOTYPE_DIRECT,0.59000000000000008,0.5879811074263892,0.58999999999999997,0.67602206556806632,0.4831070214531028,0.029060943823772337,,0.66000000000000003,0.52000000000000002
openbmi,reverse,1,30,LRCM_HISTORICAL_CONTROL,0.55000000000000004,0.54778414229725647,0.55000000000000004,0.67481626006807982,0.48201064789119014,0.045756306754341045,,0.62,0.47999999999999998
openbmi,reverse,1,36,SELECTIVE_GATE,0.97999999999999998,0.9799919967987194,0.97999999999999998,0.070199910423346792,0.039870508611031419,0.029759512529036084,0.98938738467953846,1,0.95999999999999996
openbmi,reverse,1,36,GLOBAL_KAPPA,0.96999999999999997,0.96997297567811036,0.96999999999999997,0.13832096952647413,0.060690936843058554,0.077358471885277058,0.29999999999999999,1,0.93999999999999995
openbmi,reverse,1,36,FIXED_RELIABILITY_KAPPA,0.97999999999999998,0.9799919967987194,0.97999999999999998,0.070452625947795888,0.039863045732895917,0.030059200345982431,0.96468159962734645,1,0.95999999999999996
openbmi,reverse,1,36,CLASSWISE_SELECTIVE_GATE,0.97999999999999998,0.9799919967987194,0.97999999999999998,0.070680693198021269,0.039952593626415595,0.030102699714285239,0.96468159962734645,1,0.95999999999999996
openbmi,reverse,1,36,ORACLE_CONTINUOUS_KAPPA,0.97999999999999998,0.9799919967987194,0.97999999999999998,0.12642048724379529,0.056239167097210954,0.07668379177107755,0.34000000000000002,1,0.95999999999999996
openbmi,reverse,1,36,POPULATION_ONLY,0.92999999999999994,0.92999299929993007,0.93000000000000005,0.36217239474975638,0.19485522740820449,0.22382014206414069,,0.93999999999999995,0.92000000000000004
openbmi,reverse,1,36,IDENTITY_RESIDUAL_CARRY,0.97999999999999998,0.9799919967987194,0.97999999999999998,0.070109369570425684,0.039878235727239988,0.031636078744726223,,1,0.95999999999999996
openbmi,reverse,1,36,PAST_PROTOTYPE_DIRECT,0.97999999999999998,0.9799919967987194,0.97999999999999998,0.069586858311643573,0.039508426158607314,0.028886592631187962,,1,0.95999999999999996
openbmi,reverse,1,36,LRCM_HISTORICAL_CONTROL,0.95999999999999996,0.95993589743589747,0.95999999999999996,0.087602127634099011,0.051264126679139821,0.045033374823021992,,1,0.92000000000000004
openbmi,reverse,1,38,SELECTIVE_GATE,0.55999999999999994,0.55120359037127709,0.56000000000000005,0.65530879487919802,0.46443012466863032,0.061613252086992518,0.27780225483830995,0.69999999999999996,0.41999999999999998
openbmi,reverse,1,38,GLOBAL_KAPPA,0.55999999999999994,0.55120359037127709,0.56000000000000005,0.65579452633303759,0.46482796802820231,0.061360087324900919,0.29999999999999999,0.69999999999999996,0.41999999999999998
openbmi,reverse,1,38,FIXED_RELIABILITY_KAPPA,0.55000000000000004,0.54226426609704004,0.55000000000000004,0.65039533675050165,0.46056785883462553,0.074894648917731982,0,0.68000000000000005,0.41999999999999998
openbmi,reverse,1,38,CLASSWISE_SELECTIVE_GATE,0.55000000000000004,0.54226426609704004,0.55000000000000004,0.65039533675050165,0.46056785883462553,0.074894648917731982,0,0.68000000000000005,0.41999999999999998
