subject,feature,seed,mapping_accuracy,mapping_balanced_accuracy,mapping
4,F1,11,0.3298611111111111,0.3298611111111111,"1,2,0,3"
4,F1,12,0.328125,0.328125,"2,0,1,3"
4,F1,13,0.328125,0.328125,"0,1,3,2"
4,F1,14,0.3315972222222222,0.3315972222222222,"3,0,2,1"
4,F1,15,0.3368055555555556,0.3368055555555556,"1,0,2,3"
4,F1,16,0.3368055555555556,0.3368055555555556,"3,2,1,0"
4,F1,17,0.328125,0.328125,"3,0,2,1"
4,F1,18,0.3298611111111111,0.3298611111111111,"2,1,0,3"
4,F1,19,0.3333333333333333,0.3333333333333333,"3,2,1,0"
4,F2-S,0,0.3177083333333333,0.3177083333333333,"2,1,3,0"
4,F2-S,1,0.3159722222222222,0.3159722222222222,"3,2,1,0"
4,F2-S,2,0.3159722222222222,0.3159722222222222,"2,1,0,3"
4,F2-S,3,0.3090277777777778,0.3090277777777778,"1,0,3,2"
4,F2-S,4,0.3159722222222222,0.3159722222222222,"3,2,1,0"
4,F2-S,5,0.3142361111111111,0.3142361111111111,"2,0,3,1"
4,F2-S,6,0.3229166666666667,0.3229166666666667,"3,1,2,0"
4,F2-S,7,0.3194444444444444,0.3194444444444444,"1,0,3,2"
4,F2-S,8,0.3211805555555556,0.3211805555555556,"3,2,0,1"
4,F2-S,9,0.3194444444444444,0.3194444444444445,"3,1,0,2"
4,F2-S,10,0.3211805555555556,0.3211805555555556,"3,0,1,2"
4,F2-S,11,0.3125,0.3125,"0,2,3,1"
4,F2-S,12,0.3194444444444444,0.3194444444444444,"2,0,3,1"
4,F2-S,13,0.3194444444444444,0.3194444444444445,"1,0,3,2"
4,F2-S,14,0.3159722222222222,0.3159722222222222,"3,1,2,0"
4,F2-S,15,0.3229166666666667,0.3229166666666666,"2,1,3,0"
4,F2-S,16,0.3211805555555556,0.3211805555555556,"0,3,1,2"
4,F2-S,17,0.3194444444444444,0.3194444444444444,"3,0,2,1"
4,F2-S,18,0.3194444444444444,0.3194444444444445,"3,0,2,1"
4,F2-S,19,0.3194444444444444,0.3194444444444444,"3,1,2,0"
4,F2-V,0,0.3107638888888889,0.3107638888888889,"1,3,0,2"
4,F2-V,1,0.3038194444444444,0.3038194444444444,"3,2,0,1"
4,F2-V,2,0.3142361111111111,0.3142361111111111,"1,0,2,3"
4,F2-V,3,0.3020833333333333,0.3020833333333333,"0,3,1,2"
4,F2-V,4,0.3038194444444444,0.3038194444444444,"3,1,0,2"
4,F2-V,5,0.3142361111111111,0.3142361111111111,"2,3,1,0"
4,F2-V,6,0.3038194444444444,0.3038194444444445,"1,0,2,3"
4,F2-V,7,0.3020833333333333,0.3020833333333333,"1,2,3,0"
4,F2-V,8,0.2986111111111111,0.2986111111111111,"0,2,1,3"
