subject,representation,seed,mapping_accuracy,mapping_balanced_accuracy,selected
5,STATIC,14,0.2621527777777778,0.2621527777777778,"0,2,3,1"
5,STATIC,15,0.2621527777777778,0.2621527777777778,"3,0,2,1"
5,STATIC,16,0.265625,0.265625,"2,3,1,0"
5,STATIC,17,0.2638888888888889,0.2638888888888889,"1,3,0,2"
5,STATIC,18,0.265625,0.265625,"1,3,2,0"
5,STATIC,19,0.2638888888888889,0.2638888888888889,"1,0,2,3"
5,F1,0,0.24131944444444445,0.24131944444444445,"2,3,1,0"
5,F1,1,0.23958333333333334,0.23958333333333334,"2,3,1,0"
5,F1,2,0.24131944444444445,0.24131944444444445,"2,0,1,3"
5,F1,3,0.24131944444444445,0.24131944444444445,"0,2,1,3"
5,F1,4,0.24131944444444445,0.24131944444444445,"2,0,3,1"
5,F1,5,0.24131944444444445,0.24131944444444445,"3,1,0,2"
5,F1,6,0.24131944444444445,0.24131944444444445,"1,3,0,2"
5,F1,7,0.24305555555555555,0.24305555555555555,"2,0,3,1"
