mode,subject,source_session,target_session,representation,seed,permutation,heldout,error,best_cost,determinants,iterations
zero,1,both,both,F1,19.0,"1,3,0,2",2,0.5003653092500019,35.86967685628522,"-1,1,-1,1","18,17,14,12"
zero,1,both,both,F1,19.0,"1,3,0,2",3,0.3173782412182064,38.48504726819679,"-1,1,-1,1","17,18,10,20"
zero,1,both,both,F1,19.0,"1,3,2,0",0,0.17055570242208576,57.86731735154749,"-1,1,-1,1","19,10,10,18"
zero,1,both,both,F1,19.0,"1,3,2,0",1,0.4976914089647136,48.18791189150508,"-1,1,-1,1","15,16,13,11"
zero,1,both,both,F1,19.0,"1,3,2,0",2,0.21426842506344876,56.321235996485996,"-1,1,-1,1","22,22,9,10"
zero,1,both,both,F1,19.0,"1,3,2,0",3,0.6900451028892299,26.620969406016727,"-1,1,-1,1","28,21,19,17"
zero,1,both,both,F1,19.0,"2,0,1,3",0,0.2789194939585399,54.254118858427034,"-1,1,-1,1","11,17,14,16"
zero,1,both,both,F1,19.0,"2,0,1,3",1,0.44633154559137467,50.208375629085694,"-1,1,-1,1","18,25,18,30"
zero,1,both,both,F1,19.0,"2,0,1,3",2,0.19102621195076808,59.30080155163226,"-1,1,-1,1","15,7,13,11"
zero,1,both,both,F1,19.0,"2,0,1,3",3,0.69466900877227,29.51604826942714,"-1,1,-1,1","12,13,16,16"
zero,1,both,both,F1,19.0,"2,0,3,1",0,0.2635653398180418,39.860106905215375,"-1,1,-1,1","13,19,13,13"
zero,1,both,both,F1,19.0,"2,0,3,1",1,0.42785950011837315,36.21782786011614,"-1,1,-1,1","14,13,16,15"
zero,1,both,both,F1,19.0,"2,0,3,1",2,0.5400370084268554,31.584664822147374,"-1,1,-1,1","7,11,13,9"
zero,1,both,both,F1,19.0,"2,0,3,1",3,0.18639836132572196,43.46424423678823,"-1,1,-1,1","12,14,7,12"
zero,1,both,both,F1,19.0,"2,1,0,3",0,0.27625199298898834,59.1281283834122,"-1,1,-1,1","10,14,16,14"
zero,1,both,both,F1,19.0,"2,1,0,3",1,0.23054737170805173,63.64770289293778,"-1,1,-1,1","11,8,12,14"
zero,1,both,both,F1,19.0,"2,1,0,3",2,0.5139527482516619,51.309013209326004,"-1,1,-1,1","9,14,20,25"
zero,1,both,both,F1,19.0,"2,1,0,3",3,0.6946833475764659,34.756397739708795,"-1,1,-1,1","14,14,10,12"
zero,1,both,both,F1,19.0,"2,1,3,0",0,0.2700436394357677,60.76331340386359,"-1,1,-1,1","15,10,17,10"
zero,1,both,both,F1,19.0,"2,1,3,0",1,0.23667951342439417,65.3401175666454,"-1,1,-1,1","14,12,10,11"
zero,1,both,both,F1,19.0,"2,1,3,0",2,0.5520257996431064,52.28372621991624,"-1,1,-1,1","15,18,19,8"
zero,1,both,both,F1,19.0,"2,1,3,0",3,0.6929431427144357,35.031365270493446,"-1,1,-1,1","24,15,13,13"
zero,1,both,both,F1,19.0,"2,3,0,1",0,0.2628445923931853,40.018519521132504,"-1,1,-1,1","13,14,13,12"
zero,1,both,both,F1,19.0,"2,3,0,1",1,0.488226903327381,35.93258404108113,"-1,1,-1,1","13,22,9,10"
zero,1,both,both,F1,19.0,"2,3,0,1",2,0.513786132511897,32.17882893451517,"-1,1,-1,1","16,24,10,13"
zero,1,both,both,F1,19.0,"2,3,0,1",3,0.17507226574463874,43.442604685159154,"-1,1,-1,1","31,19,11,11"
zero,1,both,both,F1,19.0,"2,3,1,0",0,0.27242853340834283,56.22947358160172,"-1,1,-1,1","16,16,10,7"
zero,1,both,both,F1,19.0,"2,3,1,0",1,0.5034786800428251,51.52145309632317,"-1,1,-1,1","10,13,17,29"
zero,1,both,both,F1,19.0,"2,3,1,0",2,0.21599109019695642,61.43562798963559,"-1,1,-1,1","15,14,13,9"
zero,1,both,both,F1,19.0,"2,3,1,0",3,0.6907601176591207,30.22909049149201,"-1,1,-1,1","23,17,17,20"
zero,1,both,both,F1,19.0,"3,0,1,2",0,0.6242466407879719,35.542167992841335,"-1,1,-1,1","9,15,19,14"
zero,1,both,both,F1,19.0,"3,0,1,2",1,0.44464261405288336,47.48431910607842,"-1,1,-1,1","20,14,12,14"
zero,1,both,both,F1,19.0,"3,0,1,2",2,0.2219012525773963,56.03976180838534,"-1,1,-1,1","13,21,8,19"
zero,1,both,both,F1,19.0,"3,0,1,2",3,0.3424305632859183,44.46026442314869,"-1,1,-1,1","18,19,14,13"
zero,1,both,both,F1,19.0,"3,0,2,1",0,0.6155728519417721,28.064413040701304,"-1,1,-1,1","12,16,9,19"
zero,1,both,both,F1,19.0,"3,0,2,1",1,0.4270353527199581,40.064297215964444,"-1,1,-1,1","17,19,11,16"
zero,1,both,both,F1,19.0,"3,0,2,1",2,0.22326934385012917,47.32430897282429,"-1,1,-1,1","20,10,9,17"
zero,1,both,both,F1,19.0,"3,0,2,1",3,0.1998489217553797,46.104505272641035,"-1,1,-1,1","7,12,10,12"
zero,1,both,both,F1,19.0,"3,1,0,2",0,0.6198494219888843,40.97095967215012,"-1,1,-1,1","12,27,9,24"
zero,1,both,both,F1,19.0,"3,1,0,2",1,0.26148595859936535,60.248411730102944,"-1,1,-1,1","14,16,10,8"
zero,1,both,both,F1,19.0,"3,1,0,2",2,0.5125431568241191,48.41964539680636,"-1,1,-1,1","11,13,16,9"
zero,1,both,both,F1,19.0,"3,1,0,2",3,0.3471198282567474,50.10505172301065,"-1,1,-1,1","9,16,19,22"
zero,1,both,both,F1,19.0,"3,1,2,0",0,0.6147425833102471,48.93236349599387,"-1,1,-1,1","12,15,23,15"
zero,1,both,both,F1,19.0,"3,1,2,0",1,0.2608627477186834,68.04447224855579,"-1,1,-1,1","15,9,9,12"
zero,1,both,both,F1,19.0,"3,1,2,0",2,0.22940754742245398,67.34601250910879,"-1,1,-1,1","14,12,9,11"
zero,1,both,both,F1,19.0,"3,1,2,0",3,0.684622023722977,38.423679371493535,"-1,1,-1,1","19,13,22,32"
zero,1,both,both,F1,19.0,"3,2,0,1",0,0.6133190901334249,31.185012887200728,"-1,1,-1,1","16,19,11,23"
zero,1,both,both,F1,19.0,"3,2,0,1",1,0.21985549133033494,51.58218812385443,"-1,1,-1,1","19,14,23,14"
zero,1,both,both,F1,19.0,"3,2,0,1",2,0.5208239685306045,38.623833387762105,"-1,1,-1,1","12,17,15,17"
zero,1,both,both,F1,19.0,"3,2,0,1",3,0.20789726346691817,49.33152920426758,"-1,1,-1,1","8,11,9,9"
zero,1,both,both,F1,19.0,"3,2,1,0",0,0.6038194445239414,46.33776938369718,"-1,1,-1,1","13,11,10,12"
zero,1,both,both,F1,19.0,"3,2,1,0",1,0.20771775373494739,66.58693627325061,"-1,1,-1,1","11,18,18,10"
zero,1,both,both,F1,19.0,"3,2,1,0",2,0.19945902442764116,66.42132898598351,"-1,1,-1,1","13,17,11,8"
zero,1,both,both,F1,19.0,"3,2,1,0",3,0.6809123487988534,35.79839314803432,"-1,1,-1,1","21,14,8,12"
zero,1,both,both,F2-S,0.0,"0,1,2,3",0,3.483606371131952,31.77153415835442,"-1,1,-1,1","26,16,21,22"
zero,1,both,both,F2-S,0.0,"0,1,2,3",1,4.5238080387933115,21.21239269856283,"-1,1,-1,1","35,30,19,16"
zero,1,both,both,F2-S,0.0,"0,1,2,3",2,0.9698115687447159,42.915840773687194,"-1,1,-1,1","19,30,22,24"
zero,1,both,both,F2-S,0.0,"0,1,2,3",3,0.8000290692989357,42.33001264826022,"-1,1,-1,1","30,14,16,21"
zero,1,both,both,F2-S,0.0,"0,1,3,2",0,3.4008660094062853,27.845838766548763,"-1,1,-1,1","19,12,15,12"
