half,component,subject,J_s,T_J
A,len,18,-0.04907190761734716,0.005125510973418612
A,len,19,0.06099825822531235,0.005125510973418612
A,len,20,0.03209612487346718,0.005125510973418612
A,len,21,0.06197803927909874,0.005125510973418612
A,len,22,-0.017946336649274468,0.005125510973418612
A,len,23,-0.0007385782803132068,0.005125510973418612
A,len,24,0.01134843976800947,0.005125510973418612
A,len,25,0.07976880143840612,0.005125510973418612
A,len,26,-0.12541564399413538,0.005125510973418612
A,len,27,0.012215343689459333,0.005125510973418612
A,len,28,0.008913016655447852,0.005125510973418612
A,len,29,-0.0843480130248318,0.005125510973418612
A,len,30,0.006500693883359776,0.005125510973418612
A,len,31,0.03315403779407036,0.005125510973418612
A,len,32,-0.027728055414627945,0.005125510973418612
A,len,33,-0.1984970738067222,0.005125510973418612
A,len,34,0.005118196687288287,0.005125510973418612
A,len,35,-0.0012330242291271193,0.005125510973418612
A,len,36,0.014070991496515313,0.005125510973418612
A,len,37,0.02471453821318932,0.005125510973418612
A,len,38,0.02026801940736367,0.005125510973418612
A,len,39,0.06084790240977721,0.005125510973418612
A,len,40,0.051581981594495105,0.005125510973418612
A,len,41,0.01063990766010503,0.005125510973418612
A,len,42,0.06332998460357536,0.005125510973418612
A,len,43,0.08395344414310882,0.005125510973418612
A,len,44,0.2677415881794094,0.005125510973418612
A,len,45,0.13252462769255038,0.005125510973418612
A,len,46,-0.0017831810068000414,0.005125510973418612
A,len,47,-0.04167650569009557,0.005125510973418612
A,len,48,-0.07621595128019612,0.005125510973418612
A,len,49,0.011124018467841168,0.005125510973418612
A,len,50,0.002892718065286487,0.005125510973418612
A,len,51,0.018894520370897047,0.005125510973418612
A,len,52,-0.03425308662051825,0.005125510973418612
A,len,53,0.0200551172470428,0.005125510973418612
A,len,54,-0.0006987296012897284,0.005125510973418612
A,ang,1,0.06307974612632627,0.0764758672176515
A,ang,2,-0.10574082933825568,0.0764758672176515
A,ang,3,0.3083233781228837,0.0764758672176515
A,ang,4,-0.1560825288600889,0.0764758672176515
A,ang,5,-0.07762824196783358,0.0764758672176515
A,ang,6,-0.48021533068118216,0.0764758672176515
A,ang,7,-0.6489415611783234,0.0764758672176515
A,ang,8,-0.5440651962770232,0.0764758672176515
A,ang,9,0.039834899595072804,0.0764758672176515
A,ang,10,-0.11868183691858325,0.0764758672176515
A,ang,11,-0.11750441537210377,0.0764758672176515
A,ang,12,-0.312938334817349,0.0764758672176515
A,ang,13,0.6838311997018295,0.0764758672176515
A,ang,14,0.11703599890094751,0.0764758672176515
A,ang,15,0.4888467600897004,0.0764758672176515
A,ang,16,-0.17622375383254718,0.0764758672176515
A,ang,17,0.15528290553294943,0.0764758672176515
A,ang,18,0.4502887729165608,0.0764758672176515
A,ang,19,2.114165086611495,0.0764758672176515
