subject,session,class,state,half,trial_count,normalized_karcher_residual,warning_count
11,0,right_hand,1,full,50,4.531056875184148e-11,0
11,0,right_hand,1,A,25,4.794932588327332e-11,0
11,0,right_hand,1,B,25,4.776901034507109e-11,0
11,0,right_hand,2,full,50,4.919837086733174e-11,0
11,0,right_hand,2,A,25,4.599103260932548e-11,0
11,0,right_hand,2,B,25,5.6594743453512505e-11,0
11,0,right_hand,3,full,50,4.876674575202306e-11,0
11,0,right_hand,3,A,25,5.237370823979065e-11,0
11,0,right_hand,3,B,25,5.0418831028498695e-11,0
11,0,right_hand,4,full,50,4.8810886684780266e-11,0
11,0,right_hand,4,A,25,4.7265294248089805e-11,0
11,0,right_hand,4,B,25,5.310058512942904e-11,0
11,0,right_hand,5,full,50,4.745884708957499e-11,0
11,0,right_hand,5,A,25,5.2079784871825263e-11,0
11,0,right_hand,5,B,25,4.8017468243493504e-11,0
12,0,left_hand,1,full,50,6.37894297249235e-11,0
12,0,left_hand,1,A,25,6.61941345173352e-11,0
12,0,left_hand,1,B,25,6.419587053365688e-11,0
12,0,left_hand,2,full,50,6.284749791582854e-11,0
12,0,left_hand,2,A,25,7.073385321405121e-11,0
12,0,left_hand,2,B,25,5.7798629021439436e-11,0
12,0,left_hand,3,full,50,6.06429022307796e-11,0
12,0,left_hand,3,A,25,6.135621706680572e-11,0
12,0,left_hand,3,B,25,5.949873452001127e-11,0
12,0,left_hand,4,full,50,6.52388014999204e-11,0
12,0,left_hand,4,A,25,7.133843521091126e-11,0
12,0,left_hand,4,B,25,6.517957030003335e-11,0
12,0,left_hand,5,full,50,5.970346660144093e-11,0
12,0,left_hand,5,A,25,5.8053601420027937e-11,0
12,0,left_hand,5,B,25,6.40283010126392e-11,0
12,0,right_hand,1,full,50,6.529541137637008e-11,0
12,0,right_hand,1,A,25,6.706615712885734e-11,0
12,0,right_hand,1,B,25,6.390630031655331e-11,0
12,0,right_hand,2,full,50,5.739370720297619e-11,0
12,0,right_hand,2,A,25,5.439390969643265e-11,0
12,0,right_hand,2,B,25,6.454500426205821e-11,0
12,0,right_hand,3,full,50,6.28695496159152e-11,0
12,0,right_hand,3,A,25,6.41530248295396e-11,0
12,0,right_hand,3,B,25,6.342468495933565e-11,0
12,0,right_hand,4,full,50,5.368856043405788e-11,0
12,0,right_hand,4,A,25,6.090473931077839e-11,0
12,0,right_hand,4,B,25,4.6918943346503214e-11,0
12,0,right_hand,5,full,50,6.065478259383146e-11,0
12,0,right_hand,5,A,25,6.395252986765492e-11,0
12,0,right_hand,5,B,25,5.971401525778203e-11,0
13,0,left_hand,1,full,50,7.793282900907006e-11,0
13,0,left_hand,1,A,25,7.289823174092395e-11,0
13,0,left_hand,1,B,25,8.312284166753798e-11,0
13,0,left_hand,2,full,50,7.463010778304243e-11,0
13,0,left_hand,2,A,25,7.248013440236405e-11,0
13,0,left_hand,2,B,25,7.478102579079121e-11,0
13,0,left_hand,3,full,50,8.057292528209306e-11,0
13,0,left_hand,3,A,25,8.07396486549624e-11,0
13,0,left_hand,3,B,25,8.19237112804112e-11,0
13,0,left_hand,4,full,50,8.52420745548272e-11,0
13,0,left_hand,4,A,25,8.59051360754808e-11,0
13,0,left_hand,4,B,25,8.156662804918245e-11,0
13,0,left_hand,5,full,50,7.555690839179426e-11,0
13,0,left_hand,5,A,25,7.585167100007616e-11,0
13,0,left_hand,5,B,25,7.518906660447371e-11,0
13,0,right_hand,1,full,50,8.443502665891903e-11,0
13,0,right_hand,1,A,25,7.998157705130228e-11,0
13,0,right_hand,1,B,25,3.779311782949549e-11,0
13,0,right_hand,2,full,50,8.184293303294687e-11,0
13,0,right_hand,2,A,25,8.058820653521782e-11,0
13,0,right_hand,2,B,25,8.583983207409888e-11,0
13,0,right_hand,3,full,50,8.571631423861697e-11,0
13,0,right_hand,3,A,25,3.7224512257364034e-11,0
13,0,right_hand,3,B,25,8.249715637553182e-11,0
13,0,right_hand,4,full,50,3.7708886208361776e-11,0
13,0,right_hand,4,A,25,8.699166356609982e-11,0
13,0,right_hand,4,B,25,3.784720750466895e-11,0
13,0,right_hand,5,full,50,8.01945516949881e-11,0
13,0,right_hand,5,A,25,7.781695122221092e-11,0
13,0,right_hand,5,B,25,8.110258541437386e-11,0
14,0,left_hand,1,full,50,6.749176347608846e-11,0
14,0,left_hand,1,A,25,6.978957762603839e-11,0
14,0,left_hand,1,B,25,6.947340234553457e-11,0
14,0,left_hand,2,full,50,6.946265331615607e-11,0
