protocol,target_subject,condition,true_class,predicted_class,count
T2,5,MOV_LEN,tongue,feet,3
T2,5,MOV_LEN,tongue,tongue,2
T2,5,MOV_GRAM,left_hand,left_hand,48
T2,5,MOV_GRAM,left_hand,right_hand,18
T2,5,MOV_GRAM,left_hand,feet,3
T2,5,MOV_GRAM,left_hand,tongue,3
T2,5,MOV_GRAM,right_hand,left_hand,41
T2,5,MOV_GRAM,right_hand,right_hand,25
T2,5,MOV_GRAM,right_hand,feet,5
T2,5,MOV_GRAM,right_hand,tongue,1
T2,5,MOV_GRAM,feet,left_hand,46
T2,5,MOV_GRAM,feet,right_hand,22
T2,5,MOV_GRAM,feet,feet,1
T2,5,MOV_GRAM,feet,tongue,3
T2,5,MOV_GRAM,tongue,left_hand,45
T2,5,MOV_GRAM,tongue,right_hand,21
T2,5,MOV_GRAM,tongue,feet,5
T2,5,MOV_GRAM,tongue,tongue,1
T2,5,MOV_SENSOR,left_hand,left_hand,24
T2,5,MOV_SENSOR,left_hand,right_hand,23
T2,5,MOV_SENSOR,left_hand,feet,14
T2,5,MOV_SENSOR,left_hand,tongue,11
T2,5,MOV_SENSOR,right_hand,left_hand,24
T2,5,MOV_SENSOR,right_hand,right_hand,27
T2,5,MOV_SENSOR,right_hand,feet,11
T2,5,MOV_SENSOR,right_hand,tongue,10
T2,5,MOV_SENSOR,feet,left_hand,27
T2,5,MOV_SENSOR,feet,right_hand,18
T2,5,MOV_SENSOR,feet,feet,18
T2,5,MOV_SENSOR,feet,tongue,9
T2,5,MOV_SENSOR,tongue,left_hand,16
T2,5,MOV_SENSOR,tongue,right_hand,22
T2,5,MOV_SENSOR,tongue,feet,22
T2,5,MOV_SENSOR,tongue,tongue,12
T2,5,STATIC_PLUS_LEN,left_hand,left_hand,16
T2,5,STATIC_PLUS_LEN,left_hand,right_hand,27
T2,5,STATIC_PLUS_LEN,left_hand,feet,12
T2,5,STATIC_PLUS_LEN,left_hand,tongue,17
T2,5,STATIC_PLUS_LEN,right_hand,left_hand,16
T2,5,STATIC_PLUS_LEN,right_hand,right_hand,27
T2,5,STATIC_PLUS_LEN,right_hand,feet,11
T2,5,STATIC_PLUS_LEN,right_hand,tongue,18
T2,5,STATIC_PLUS_LEN,feet,left_hand,12
T2,5,STATIC_PLUS_LEN,feet,right_hand,19
T2,5,STATIC_PLUS_LEN,feet,feet,31
T2,5,STATIC_PLUS_LEN,feet,tongue,10
T2,5,STATIC_PLUS_LEN,tongue,left_hand,14
T2,5,STATIC_PLUS_LEN,tongue,right_hand,18
T2,5,STATIC_PLUS_LEN,tongue,feet,12
T2,5,STATIC_PLUS_LEN,tongue,tongue,28
